feature,OFF_RATING_corr,DEF_RATING_corr,season
PCT_UAST_3PM,0.21103818974323982,0.052987295989291465,2016-17
PCT_AST_FGM,0.2594771730382279,-0.26424145998444054,2016-17
PCT_UAST_FGM,-0.25947717303822737,0.2642414599844407,2016-17
OPP_FGM,-0.04013366542403112,0.6830466895855716,2016-17
OPP_FGA,0.204034444395281,-0.028085681980582977,2016-17
OPP_FG_PCT,-0.1998000760282631,0.8097975142142614,2016-17
OPP_FG3M,-0.1399143305650995,0.3974206353472632,2016-17
OPP_FG3A,0.028912852853343406,0.15862724045473423,2016-17
OPP_FG3_PCT,-0.4218502329139258,0.6165645496755706,2016-17
OPP_FTM,-0.13553423578783566,0.3240786590629822,2016-17
OPP_FTA,-0.1421157142681465,0.30337221487996097,2016-17
OPP_FT_PCT,0.0364650684354846,0.20266857876360472,2016-17
OPP_OREB,0.20405164203001028,0.0012820438489567377,2016-17
OPP_DREB,-0.6145516189460662,0.008301856622765145,2016-17
OPP_REB,-0.5314761628344649,0.011043012304270395,2016-17
OPP_AST,-0.0011266338551618777,0.38173868889431045,2016-17
OPP_TOV,-0.044970074166345964,-0.3243707228987847,2016-17
OPP_STL,-0.15151251687399403,0.17279709877368335,2016-17
OPP_BLK,-0.3446958011616633,0.42859412450755213,2016-17
OPP_BLKA,0.08261203379210695,-0.5517839343006994,2016-17
OPP_PF,0.2496472583068096,-0.11504356456334298,2016-17
OPP_PFD,-0.12199017772506256,0.2911240652322911,2016-17
OPP_PTS,-0.18283324293773692,0.9982269785260738,2016-17
FGM,0.649014993811725,-0.19364410400034077,2017-18
FGA,-0.21988090849458614,0.010969403032425502,2017-18
FG_PCT,0.7184432084576969,-0.17711404281680412,2017-18
FG3M,0.3206803991501403,-0.2737808725519263,2017-18
FG3A,0.24667848671443057,-0.2111093858399653,2017-18
FG3_PCT,0.3860157619906863,-0.3035443304689404,2017-18
FTM,0.6250659909195396,-0.0025469844261499707,2017-18
FTA,0.5044256884145111,0.01720903727512492,2017-18
FT_PCT,0.39634402974373856,-0.06314176360367031,2017-18
OREB,0.021291677417252276,-0.10960742840330578,2017-18
DREB,0.12505192233610438,-0.6569667115456229,2017-18
REB,0.11341548353250697,-0.5655428957381313,2017-18
AST,0.2798556208572278,-0.13973684330513292,2017-18
TOV,-0.2996106118436589,-0.006033456570671748,2017-18
STL,0.30870589688709105,-0.3557368412276775,2017-18
BLK,0.39350997564595563,-0.45285986632704545,2017-18
BLKA,-0.49778635420277983,0.36843516570552404,2017-18
PF,-0.2743282826033091,0.031489048887800374,2017-18
PFD,0.33903168013616003,-0.012192372530875732,2017-18
PTS,1.0,-0.2751833423718199,2017-18
PLUS_MINUS,0.8493073606237329,-0.7398645384834465,2017-18
AST_PCT,0.016704278610564557,-0.06717688736161301,2017-18
AST_TO,0.4766768087580534,-0.1121570804186393,2017-18
AST_RATIO,0.27755943411424167,-0.12796131494136626,2017-18
OREB_PCT,0.1387959303731304,-0.07160354935937692,2017-18
DREB_PCT,-0.10658783378213939,-0.2911347743532779,2017-18
REB_PCT,0.3607132205442828,-0.4670660678134033,2017-18
TM_TOV_PCT,-0.2996106118436595,-0.006033456570671163,2017-18
EFG_PCT,0.8206268001065676,-0.2942989423659247,2017-18
TS_PCT,0.8651959306055584,-0.25752607235703245,2017-18
E_PACE,0.09068238113249376,0.16968633271560496,2017-18
PACE,0.09173095578444129,0.161835087436284,2017-18
PACE_PER40,0.09217408089713466,0.1615410489630752,2017-18
POSS,0.11386011019215865,0.12495767417435427,2017-18
PIE,0.7989809149772444,-0.7270852200647361,2017-18
PTS_OFF_TOV,0.42962317333230604,-0.18405670043002084,2017-18
PTS_2ND_CHANCE,0.15516967671665124,-0.13096049405187038,2017-18
PTS_FB,0.22326331471641664,0.10537137257487673,2017-18
PTS_PAINT,0.2560380952524581,0.09290840330551918,2017-18
OPP_PTS_OFF_TOV,-0.1839297033961214,0.30096046925674225,2017-18
OPP_PTS_2ND_CHANCE,0.20155252454720318,0.21122045220739458,2017-18
OPP_PTS_FB,-0.11706010053566784,0.4456242732991206,2017-18
OPP_PTS_PAINT,0.3316692221639198,0.32295861819035865,2017-18
FTA_RATE,0.5026088122766967,0.018720740931955148,2017-18
OPP_EFG_PCT,-0.19965940446550515,0.8520305549314221,2017-18
OPP_FTA_RATE,-0.2808402580076853,0.039032139570781506,2017-18
OPP_TOV_PCT,0.13900667486565907,-0.2181682743212675,2017-18
OPP_OREB_PCT,0.1065878337821371,0.2911347743532778,2017-18
PCT_FGA_2PT,-0.2670727279382795,0.20355470112990046,2017-18
PCT_FGA_3PT,0.26707272793827913,-0.20355470112990026,2017-18
PCT_PTS_2PT,-0.24140313316298198,0.18373495497735498,2017-18
PCT_PTS_2PT_MR,-0.1765318927343626,0.04599477759548084,2017-18
PCT_PTS_3PT,0.11658486132626471,-0.2189459981787091,2017-18
PCT_PTS_FB,0.08694439090716105,0.152020064049775,2017-18
PCT_PTS_FT,0.4030524597493005,0.08478849170082717,2017-18
PCT_PTS_OFF_TOV,0.06378094218753765,-0.0926734224012665,2017-18
PCT_PTS_PAINT,-0.152919529631308,0.20800772575676701,2017-18
PCT_AST_2PM,0.13584990849814085,0.015606151400172515,2017-18
PCT_UAST_2PM,-0.13584990849814074,-0.015606151400172644,2017-18
PCT_AST_3PM,-0.332814354024286,-0.05278711428593823,2017-18
PCT_UAST_3PM,0.33281435402428616,0.052787114285937915,2017-18
PCT_AST_FGM,0.016704278610564557,-0.06717688736161301,2017-18
PCT_UAST_FGM,-0.01670427861056441,0.06717688736161324,2017-18
OPP_FGM,0.0005235852749203482,0.7678354371499758,2017-18
OPP_FGA,0.19906404713508435,0.1424314332873168,2017-18
OPP_FG_PCT,-0.13227782284535616,0.8478714949614602,2017-18
OPP_FG3M,-0.2232337157828742,0.6308279100095747,2017-18
OPP_FG3A,-0.16151750289407257,0.4354001594226364,2017-18
OPP_FG3_PCT,-0.21838602201834098,0.7053632617523182,2017-18
OPP_FTM,-0.3193033212332702,0.10819025793908958,2017-18
OPP_FTA,-0.2740520916004846,0.06491514396807187,2017-18
OPP_FT_PCT,-0.27674145180458226,0.24541962766688485,2017-18
OPP_OREB,0.055644777369619224,0.2398089290054764,2017-18
OPP_DREB,-0.6577481729135175,0.2360249310123384,2017-18
OPP_REB,-0.7231877052020808,0.37782017155683845,2017-18
OPP_AST,-0.0716065144773763,0.6822364693392262,2017-18
OPP_TOV,0.13890765401242453,-0.2129813605569307,2017-18
OPP_STL,-0.2909753938539418,0.02200078537570974,2017-18
OPP_BLK,-0.49778635420277983,0.36843516570552404,2017-18
OPP_BLKA,0.39350997564595563,-0.45285986632704545,2017-18
